object_id,frame,x,y,w,h,area,solidity,eccentricity,focus_score,quality_score,cluster
78,RCNHSha_20250510_000902_IMG1,2513,953,37,69,1806,0.9044,0.8808,27.8867,0.3714,7
79,RCNHSha_20250510_000902_IMG1,2922,1017,52,43,1630,0.9261,0.6725,20.6936,0.3637,49
80,RCNHSha_20250510_000902_IMG1,931,1769,60,91,3150,0.9091,0.8398,15.9958,0.4147,7
81,RCNHSha_20250510_000902_IMG1,2173,1894,40,52,1491,0.8933,0.7281,15.5318,0.3432,7
82,RCNHSha_20250510_000917_IMG2,1723,211,38,47,1225,0.9373,0.707,21.6824,0.3519,14
83,RCNHSha_20250510_000917_IMG2,2006,845,93,103,3574,0.5893,0.8139,13.8863,0.3336,7
84,RCNHSha_20250510_000917_IMG2,2782,967,35,49,1359,0.9721,0.6737,17.5119,0.3635,47
85,RCNHSha_20250510_000917_IMG2,3218,1312,41,71,1842,0.9192,0.8753,11.4583,0.3609,7
86,RCNHSha_20250510_000917_IMG2,1689,1687,57,48,1255,0.7484,0.9117,39.2447,0.314,49
87,RCNHSha_20250510_000917_IMG2,2914,1807,40,51,1435,0.9624,0.6084,9.1278,0.3553,7
88,RCNHSha_20250510_000917_IMG2,1396,2008,51,63,1655,0.7581,0.7657,31.8767,0.3255,23
89,RCNHSha_20250510_003901_IMG1,1401,362,41,50,1574,0.9067,0.5779,16.5052,0.3515,7
90,RCNHSha_20250510_003901_IMG1,1586,670,38,49,1360,0.9477,0.805,16.7807,0.3555,7
91,RCNHSha_20250510_003901_IMG1,2618,866,37,53,1318,0.9489,0.8295,37.5141,0.3749,33
92,RCNHSha_20250510_003901_IMG1,2398,878,61,50,1599,0.8888,0.8021,15.802,0.3464,2
93,RCNHSha_20250510_003901_IMG1,2756,925,49,40,1420,0.9569,0.6183,14.5015,0.3584,6
94,RCNHSha_20250510_003901_IMG1,2515,961,42,63,1517,0.881,0.9144,17.1346,0.3421,7
95,RCNHSha_20250510_003901_IMG1,3110,1623,37,54,1392,0.9164,0.7666,22.7032,0.3533,14
96,RCNHSha_20250510_003901_IMG1,2428,1878,52,61,1674,0.7534,0.3124,41.5789,0.3346,14
97,RCNHSha_20250510_003901_IMG1,1893,1947,52,46,1379,0.8966,0.8159,15.1912,0.3393,2
98,RCNHSha_20250510_003901_IMG1,2704,2079,30,55,1222,0.9675,0.8558,27.9074,0.367,14
99,RCNHSha_20250510_003901_IMG1,2233,2265,37,53,1454,0.9037,0.7947,27.9334,0.3572,14
100,RCNHSha_20250510_003901_IMG1,2188,2351,47,60,1543,0.8708,0.6709,31.4921,0.3544,14
101,RCNHSha_20250510_003901_IMG1,2848,2359,75,47,1850,0.7641,0.8704,12.7235,0.316,2
102,RCNHSha_20250510_004101_IMG9,2324,374,66,138,2493,0.608,0.972,31.4424,0.3136,49
103,RCNHSha_20250510_004101_IMG9,2564,554,36,52,1261,0.9589,0.8576,12.6334,0.3508,14
104,RCNHSha_20250510_004101_IMG9,2908,605,56,39,1473,0.9299,0.8019,12.8877,0.3508,2
105,RCNHSha_20250510_004101_IMG9,2519,994,68,48,1395,0.6633,0.8032,16.6615,0.2715,2
106,RCNHSha_20250510_004101_IMG9,2129,1578,36,49,1283,0.9504,0.7476,28.3059,0.3647,8
107,RCNHSha_20250510_004101_IMG9,2078,2455,40,61,1610,0.9344,0.7719,13.0729,0.3578,7
108,RCNHSha_20250510_010900_IMG1,2110,682,57,55,1650,0.7772,0.6286,34.1023,0.3333,10
109,RCNHSha_20250510_010900_IMG1,2770,726,49,48,1707,0.9478,0.5032,10.3378,0.363,3
110,RCNHSha_20250510_010900_IMG1,1522,1295,74,52,2314,0.8778,0.7641,11.7393,0.3677,2
111,RCNHSha_20250510_010900_IMG1,2456,1646,56,63,2008,0.8006,0.4394,21.9118,0.3424,33
112,RCNHSha_20250510_010900_IMG1,998,1753,47,63,1365,0.7673,0.9068,45.3574,0.3301,49
113,RCNHSha_20250510_010900_IMG1,2429,1777,42,56,1377,0.9503,0.8577,16.3086,0.3565,7
114,RCNHSha_20250510_010900_IMG1,2805,1817,44,55,1654,0.9103,0.6465,14.0713,0.3533,37
115,RCNHSha_20250510_010900_IMG1,2772,2155,35,75,1768,0.8553,0.8854,22.8693,0.3502,14
116,RCNHSha_20250510_010900_IMG1,2896,2176,103,100,3297,0.5132,0.5941,11.2137,0.2971,4
117,RCNHSha_20250510_010900_IMG1,3142,2189,89,53,2937,0.9155,0.8787,9.9145,0.4021,2
118,RCNHSha_20250510_010900_IMG1,2001,2791,66,70,1878,0.6182,0.3066,14.536,0.2751,49
119,RCNHSha_20250510_013946_IMG4,1429,430,62,88,2596,0.8393,0.9066,13.8077,0.3694,7
120,RCNHSha_20250510_013946_IMG4,2610,472,37,101,1803,0.6243,0.9639,16.9262,0.2763,8
121,RCNHSha_20250510_013946_IMG4,1795,537,202,141,5986,0.4013,0.6776,11.195,0.3316,2
122,RCNHSha_20250510_013946_IMG4,1821,710,36,55,1538,0.9631,0.7723,23.7993,0.3742,7
123,RCNHSha_20250510_013946_IMG4,2628,737,59,97,2985,0.787,0.8428,9.7807,0.3653,14
124,RCNHSha_20250510_013946_IMG4,3113,995,31,57,1337,0.9667,0.8551,19.7673,0.3633,7
125,RCNHSha_20250510_013946_IMG4,2530,1243,46,71,2202,0.9557,0.8543,24.4052,0.3992,14
126,RCNHSha_20250510_013946_IMG4,1435,1255,43,47,1403,0.9493,0.6815,11.2993,0.3522,7
127,RCNHSha_20250510_013946_IMG4,2117,1430,50,46,1530,0.9222,0.6563,15.5373,0.3534,6
128,RCNHSha_20250510_013946_IMG4,827,1488,109,130,4761,0.6597,0.9565,472.9785,0.8613,18
129,RCNHSha_20250510_013946_IMG4,1797,1738,42,43,1351,0.9698,0.5792,9.9391,0.3549,3
130,RCNHSha_20250510_013946_IMG4,1567,2105,122,70,6250,0.953,0.8238,10.954,0.4969,10
131,RCNHSha_20250510_013946_IMG4,2692,2112,78,47,1217,0.5948,0.9275,8.097,0.2352,2
132,RCNHSha_20250510_013946_IMG4,2040,2125,81,109,2583,0.4705,0.8475,24.104,0.2686,0
133,RCNHSha_20250510_014046_IMG8,2625,469,32,103,1776,0.781,0.9798,10.2674,0.3156,8
134,RCNHSha_20250510_020901_IMG1,1868,171,62,54,1698,0.8435,0.8713,10.667,0.3316,3
135,RCNHSha_20250510_020901_IMG1,1410,316,63,39,1294,0.8502,0.8201,12.861,0.3197,2
136,RCNHSha_20250510_020901_IMG1,1719,376,53,66,2583,0.9602,0.7016,9.8916,0.4013,7
137,RCNHSha_20250510_020901_IMG1,2625,472,38,99,1982,0.7539,0.9685,12.0746,0.3175,8
138,RCNHSha_20250510_020901_IMG1,2917,548,55,55,1817,0.8628,0.4653,13.2754,0.3448,5
139,RCNHSha_20250510_020901_IMG1,2921,744,172,114,7894,0.5718,0.8415,21.6124,0.3931,10
140,RCNHSha_20250510_020901_IMG1,2100,835,43,58,1318,0.9172,0.9018,11.6392,0.3395,8
141,RCNHSha_20250510_020901_IMG1,2357,843,44,52,1251,0.6814,0.6322,37.5143,0.292,49
142,RCNHSha_20250510_020901_IMG1,2893,1090,62,39,1442,0.8074,0.8865,65.1501,0.365,49
143,RCNHSha_20250510_020901_IMG1,3111,1263,53,61,1574,0.8625,0.8098,33.767,0.3555,34
144,RCNHSha_20250510_020901_IMG1,2486,1424,52,76,2392,0.8531,0.8526,13.4947,0.3651,7
145,RCNHSha_20250510_020901_IMG1,1261,1449,64,43,1753,0.9083,0.7816,22.6629,0.3653,10
146,RCNHSha_20250510_020901_IMG1,1029,1456,62,53,2236,0.8969,0.6009,11.783,0.3703,2
147,RCNHSha_20250510_020901_IMG1,1275,1573,231,118,8069,0.5358,0.9263,11.7256,0.3725,50
148,RCNHSha_20250510_020901_IMG1,1575,1595,35,58,1405,0.961,0.8611,24.6349,0.3691,14
149,RCNHSha_20250510_020901_IMG1,1091,1607,37,50,1414,0.9358,0.7439,10.1615,0.3475,7
150,RCNHSha_20250510_020901_IMG1,2419,1696,50,104,2605,0.766,0.8809,14.33,0.3483,8
151,RCNHSha_20250510_020901_IMG1,2679,1933,121,100,3659,0.5449,0.8401,28.1002,0.3379,50
152,RCNHSha_20250510_020901_IMG1,836,2072,39,50,1285,0.8759,0.7312,14.8181,0.329,7
153,RCNHSha_20250510_020901_IMG1,1645,2157,163,109,5138,0.4175,0.8538,13.9579,0.3392,49
154,RCNHSha_20250510_020901_IMG1,869,2230,55,30,1283,0.9582,0.8465,14.0458,0.3528,10
155,RCNHSha_20250510_020901_IMG1,1583,2363,45,44,1482,0.9648,0.504,10.5609,0.3593,3
156,RCNHSha_20250510_020901_IMG1,1810,2640,219,98,4043,0.428,0.9767,14.1396,0.3042,49
157,RCNHSha_20250510_020931_IMG3,1527,335,94,48,2641,0.8397,0.9141,11.7504,0.3693,2
158,RCNHSha_20250510_020931_IMG3,2550,368,45,42,1263,0.8882,0.22,25.2769,0.3423,49
159,RCNHSha_20250510_020931_IMG3,2626,473,37,99,1912,0.7539,0.9692,12.7197,0.3154,8
160,RCNHSha_20250510_020931_IMG3,1174,480,56,44,1536,0.8519,0.7778,11.5016,0.3285,2
161,RCNHSha_20250510_020931_IMG3,1168,552,37,45,1240,0.965,0.5879,13.5897,0.3527,7
162,RCNHSha_20250510_020931_IMG3,2600,664,52,39,1555,0.9563,0.6451,10.7188,0.3598,6
163,RCNHSha_20250510_020931_IMG3,1585,912,55,53,1929,0.9396,0.605,20.9024,0.3799,3
164,RCNHSha_20250510_020931_IMG3,1335,928,59,53,2261,0.9642,0.6931,13.816,0.3935,3
165,RCNHSha_20250510_020931_IMG3,1887,1020,179,157,7531,0.4845,0.8521,13.7715,0.3591,2
166,RCNHSha_20250510_020931_IMG3,775,1117,71,115,4635,0.832,0.8244,11.6321,0.4466,7
167,RCNHSha_20250510_020931_IMG3,1543,1209,61,66,2606,0.8897,0.5997,13.8649,0.385,14
168,RCNHSha_20250510_020931_IMG3,889,1226,57,42,1730,0.9553,0.7433,11.0642,0.3668,2
169,RCNHSha_20250510_020931_IMG3,2474,1275,63,61,2408,0.8882,0.6024,13.7146,0.3765,3
170,RCNHSha_20250510_020931_IMG3,1916,1281,39,46,1209,0.9572,0.8004,17.7723,0.3533,14
171,RCNHSha_20250510_020931_IMG3,1991,1366,63,39,1948,0.9086,0.8129,14.1704,0.3647,2
172,RCNHSha_20250510_020931_IMG3,2832,1524,54,53,1738,0.8991,0.6811,31.9341,0.3712,21
173,RCNHSha_20250510_020931_IMG3,2510,1572,56,55,1737,0.75,0.5809,38.0352,0.3325,49
174,RCNHSha_20250510_020931_IMG3,1466,1627,48,52,1437,0.8244,0.6217,17.9435,0.3228,49
175,RCNHSha_20250510_020931_IMG3,1047,1639,50,54,2039,0.96,0.5129,9.7822,0.3793,7
176,RCNHSha_20250510_020931_IMG3,2239,1831,199,211,8647,0.3875,0.6118,27.3058,0.3435,43
177,RCNHSha_20250510_020931_IMG3,1997,1887,72,91,2548,0.6485,0.7511,9.9495,0.3064,8
178,RCNHSha_20250510_020931_IMG3,1273,1965,41,47,1469,0.9639,0.5991,13.9462,0.3619,7
179,RCNHSha_20250510_020931_IMG3,1635,1985,60,51,1685,0.768,0.7443,46.4761,0.3443,49
180,RCNHSha_20250510_020931_IMG3,1490,1988,52,50,1764,0.9484,0.3704,14.2352,0.3693,10
181,RCNHSha_20250510_020931_IMG3,2323,1999,50,64,2625,0.9661,0.5837,20.9648,0.4158,7
182,RCNHSha_20250510_020931_IMG3,1012,2197,39,71,1824,0.9383,0.8273,12.544,0.367,7
183,RCNHSha_20250510_020931_IMG3,2701,2351,80,43,2172,0.8994,0.901,17.2938,0.374,2
184,RCNHSha_20250510_020931_IMG3,2730,2443,57,68,2311,0.8851,0.6869,15.1477,0.3731,7
185,RCNHSha_20250510_020931_IMG3,1701,2465,54,50,1554,0.883,0.4927,12.5405,0.3396,6
186,RCNHSha_20250510_020931_IMG3,1795,2542,65,69,2932,0.9038,0.7019,11.4622,0.3999,7
187,RCNHSha_20250510_020931_IMG3,2169,2598,60,37,1524,0.9264,0.7948,12.4218,0.3513,2
188,RCNHSha_20250510_020947_IMG4,2304,194,48,51,1338,0.8178,0.7936,16.0701,0.3149,42
189,RCNHSha_20250510_020947_IMG4,2624,473,38,97,1845,0.7354,0.9701,24.8916,0.3193,49
190,RCNHSha_20250510_020947_IMG4,2651,508,102,65,2396,0.7176,0.8913,39.3282,0.3504,49
191,RCNHSha_20250510_020947_IMG4,2842,585,88,60,2495,0.7325,0.691,13.9157,0.3335,2
192,RCNHSha_20250510_020947_IMG4,3149,649,45,105,2373,0.6722,0.907,10.1118,0.3067,7
193,RCNHSha_20250510_020947_IMG4,2507,655,38,46,1362,0.9736,0.6186,11.408,0.358,7
194,RCNHSha_20250510_020947_IMG4,2395,678,46,49,1309,0.8756,0.5918,32.6819,0.3477,49
195,RCNHSha_20250510_020947_IMG4,2158,741,49,46,1753,0.9481,0.5578,15.3202,0.3699,6
196,RCNHSha_20250510_020947_IMG4,2527,804,49,41,1418,0.9453,0.5939,28.9393,0.3693,6
197,RCNHSha_20250510_020947_IMG4,2293,992,55,63,1264,0.6039,0.8796,14.9878,0.2467,7
198,RCNHSha_20250510_020947_IMG4,1981,1114,60,37,1550,0.948,0.8382,16.3482,0.3628,10
199,RCNHSha_20250510_020947_IMG4,2192,1134,51,65,2186,0.8506,0.7612,18.1029,0.3607,14
200,RCNHSha_20250510_020947_IMG4,2472,1285,47,56,1685,0.848,0.6917,14.7057,0.3365,7
201,RCNHSha_20250510_020947_IMG4,1159,1321,89,107,3737,0.7349,0.9365,11.0381,0.381,29
202,RCNHSha_20250510_020947_IMG4,1723,1334,52,54,1823,0.9292,0.5567,20.6827,0.3723,49
203,RCNHSha_20250510_020947_IMG4,2702,1346,69,66,2789,0.8388,0.3503,13.7367,0.3769,3
204,RCNHSha_20250510_020947_IMG4,1674,1356,47,54,1727,0.8962,0.7373,21.5998,0.3595,14
205,RCNHSha_20250510_020947_IMG4,1322,1371,38,48,1216,0.9597,0.6031,44.8661,0.3814,23
206,RCNHSha_20250510_020947_IMG4,3033,1423,44,42,1374,0.9683,0.5195,11.0611,0.3565,3
207,RCNHSha_20250510_020947_IMG4,3199,1430,50,49,1439,0.8357,0.6914,15.5744,0.3238,2
208,RCNHSha_20250510_020947_IMG4,2939,1520,103,65,3333,0.8123,0.9399,13.0252,0.39,4
209,RCNHSha_20250510_020947_IMG4,1455,1572,34,68,1734,0.9517,0.8675,11.1793,0.366,7
210,RCNHSha_20250510_020947_IMG4,2408,1591,64,51,1979,0.8074,0.6644,14.0149,0.3354,6
211,RCNHSha_20250510_020947_IMG4,1344,1631,60,59,2163,0.842,0.6102,51.8767,0.391,21
212,RCNHSha_20250510_020947_IMG4,2934,1667,50,46,1538,0.9619,0.8026,9.8695,0.3599,6
213,RCNHSha_20250510_020947_IMG4,2114,1688,65,67,2921,0.9125,0.5983,19.3384,0.4099,14
214,RCNHSha_20250510_020947_IMG4,1345,1715,40,62,1508,0.8829,0.7143,15.1707,0.3404,18
215,RCNHSha_20250510_020947_IMG4,3311,1724,53,60,2000,0.9385,0.7196,11.732,0.3733,7
216,RCNHSha_20250510_020947_IMG4,1901,1784,133,104,3405,0.4275,0.7351,22.7529,0.2872,0
217,RCNHSha_20250510_020947_IMG4,2271,1824,40,51,1325,0.9377,0.7298,25.9302,0.3602,33
